Inventory(serial number);Client(code);PartNumber;TID;MID;STATUS (sold/rent/repair);Start warranty (Date);End warranty (Date)
17150WL83160686;citi;IWL225-01P3236A;0;0;rent;23/Aug/2019;23/Aug/2020
17150WL83160150;citi;IWL225-01P3236A;0;0;rent;23/Aug/2019;23/Aug/2020
17150WL83160332;citi;IWL225-01P3236A;0;0;rent;23/Aug/2019;23/Aug/2020
17146WL83151320;citi;IWL225-01P3236A;0;0;rent;23/Aug/2019;23/Aug/2020
17146WL83152046;citi;IWL225-01P3236A;0;0;rent;23/Aug/2019;23/Aug/2020
17150WL83160990;citi;IWL225-01P3236A;0;0;rent;23/Aug/2019;23/Aug/2020
17150WL83160289;citi;IWL225-01P3236A;0;0;rent;23/Aug/2019;23/Aug/2020
17145WL83148017;citi;IWL225-01P3236A;0;0;rent;23/Aug/2019;23/Aug/2020
17146WL83151302;citi;IWL225-01P3236A;0;0;rent;23/Aug/2019;23/Aug/2020
17146WL83151401;citi;IWL225-01P3236A;0;0;rent;23/Aug/2019;23/Aug/2020
17146WL83152251;citi;IWL225-01P3236A;0;0;rent;23/Aug/2019;23/Aug/2020
17146WL83152439;citi;IWL225-01P3236A;0;0;rent;23/Aug/2019;23/Aug/2020
17150WL83160233;citi;IWL225-01P3236A;0;0;rent;23/Aug/2019;23/Aug/2020
17150WL83160588;citi;IWL225-01P3236A;0;0;rent;23/Aug/2019;23/Aug/2020
17150WL83160829;citi;IWL225-01P3236A;0;0;rent;23/Aug/2019;23/Aug/2020
17153WL83174075;citi;IWL225-01P3236A;0;0;rent;23/Aug/2019;23/Aug/2020
17153WL83174318;citi;IWL225-01P3236A;0;0;rent;23/Aug/2019;23/Aug/2020
17238WL26550209;citi;IWL225-01P3236A;0;0;rent;23/Aug/2019;23/Aug/2020
17238WL26550237;citi;IWL225-01P3236A;0;0;rent;23/Aug/2019;23/Aug/2020
17150WL83160577;citi;IWL225-01P3236A;0;0;rent;23/Aug/2019;23/Aug/2020
17153WL83174863;citi;IWL225-01P3236A;0;0;rent;23/Aug/2019;23/Aug/2020
17238WL26550353;citi;IWL225-01P3236A;0;0;rent;23/Aug/2019;23/Aug/2020
17150WL83161099;citi;IWL225-01P3236A;0;0;rent;23/Aug/2019;23/Aug/2020
17153WL83174073;citi;IWL225-01P3236A;0;0;rent;23/Aug/2019;23/Aug/2020
17150WL83160966;citi;IWL225-01P3236A;0;0;rent;23/Aug/2019;23/Aug/2020
17238WL26550195;citi;IWL225-01P3236A;0;0;rent;23/Aug/2019;23/Aug/2020
17147WL83154863;citi;IWL225-01P3236A;0;0;rent;23/Aug/2019;23/Aug/2020
17150WL83160822;citi;IWL225-01P3236A;0;0;rent;23/Aug/2019;23/Aug/2020
17147WL83154742;citi;IWL225-01P3236A;0;0;rent;23/Aug/2019;23/Aug/2020
17147WL83154826;citi;IWL225-01P3236A;0;0;rent;23/Aug/2019;23/Aug/2020
17147WL83154910;citi;IWL225-01P3236A;0;0;rent;23/Aug/2019;23/Aug/2020
17238WL26550326;citi;IWL225-01P3236A;0;0;rent;23/Aug/2019;23/Aug/2020
17150WL83160725;citi;IWL225-01P3236A;0;0;rent;23/Aug/2019;23/Aug/2020
17147WL83154934;citi;IWL225-01P3236A;0;0;rent;23/Aug/2019;23/Aug/2020
17147WL83154813;citi;IWL225-01P3236A;0;0;rent;23/Aug/2019;23/Aug/2020
17238WL26550399;citi;IWL225-01P3236A;0;0;rent;23/Aug/2019;23/Aug/2020
17147WL83154727;citi;IWL225-01P3236A;0;0;rent;23/Aug/2019;23/Aug/2020
17146WL83153110;citi;IWL225-01P3236A;0;0;rent;23/Aug/2019;23/Aug/2020
17153WL83174037;citi;IWL225-01P3236A;0;0;rent;23/Aug/2019;23/Aug/2020
17150WL83161039;citi;IWL225-01P3236A;0;0;rent;23/Aug/2019;23/Aug/2020
17153WL83174721;citi;IWL225-01P3236A;0;0;rent;23/Aug/2019;23/Aug/2020
17153WL83173997;citi;IWL225-01P3236A;0;0;rent;23/Aug/2019;23/Aug/2020
17147WL83154902;citi;IWL225-01P3236A;0;0;rent;23/Aug/2019;23/Aug/2020
17147WL83154107;citi;IWL225-01P3236A;0;0;rent;23/Aug/2019;23/Aug/2020
17146WL83153777;citi;IWL225-01P3236A;0;0;rent;23/Aug/2019;23/Aug/2020
17238WL26550224;citi;IWL225-01P3236A;0;0;rent;23/Aug/2019;23/Aug/2020
17147WL83154871;citi;IWL225-01P3236A;0;0;rent;23/Aug/2019;23/Aug/2020
17147WL83154666;citi;IWL225-01P3236A;0;0;rent;23/Aug/2019;23/Aug/2020
17153WL83174041;citi;IWL225-01P3236A;0;0;rent;23/Aug/2019;23/Aug/2020
17238WL26550344;citi;IWL225-01P3236A;0;0;rent;23/Aug/2019;23/Aug/2020
17238WL26550266;citi;IWL225-01P3236A;0;0;rent;23/Aug/2019;23/Aug/2020
17238WL26550319;citi;IWL225-01P3236A;0;0;rent;23/Aug/2019;23/Aug/2020
17238WL26550443;citi;IWL225-01P3236A;0;0;rent;23/Aug/2019;23/Aug/2020
17153WL83174057;citi;IWL225-01P3236A;0;0;rent;23/Aug/2019;23/Aug/2020
17238WL26550207;citi;IWL225-01P3236A;0;0;rent;23/Aug/2019;23/Aug/2020
