Inventory(serial number);Client(code);PartNumber;TID;MID;STATUS (sold/rent/repair);Start warranty (Date);End warranty (Date)
180732233221029007164585;bni;PWF32210291D;0;0;rent;29/04/2019;29/04/2020
180972233221029007212231;bni;PWF32210291D;0;0;rent;29/04/2019;29/04/2020
181082233221029007231581;bni;PWF32210291D;0;0;rent;29/04/2019;29/04/2020
181082233221029007231667;bni;PWF32210291D;0;0;rent;29/04/2019;29/04/2020
181082233221029007231671;bni;PWF32210291D;0;0;rent;29/04/2019;29/04/2020
181082233221029007231687;bni;PWF32210291D;0;0;rent;29/04/2019;29/04/2020
181252233221029007251197;bni;PWF32210291D;0;0;rent;29/04/2019;29/04/2020
181262233221029007251509;bni;PWF32210291D;0;0;rent;29/04/2019;29/04/2020
181262233221029007251574;bni;PWF32210291D;0;0;rent;29/04/2019;29/04/2020
181262233221029007252142;bni;PWF32210291D;0;0;rent;29/04/2019;29/04/2020
181262233221029007252429;bni;PWF32210291D;0;0;rent;29/04/2019;29/04/2020
181272233221029007253150;bni;PWF32210291D;0;0;rent;29/04/2019;29/04/2020
181272233221029007253188;bni;PWF32210291D;0;0;rent;29/04/2019;29/04/2020
181272233221029007253244;bni;PWF32210291D;0;0;rent;29/04/2019;29/04/2020
181272233221029007253269;bni;PWF32210291D;0;0;rent;29/04/2019;29/04/2020
181272233221029007253340;bni;PWF32210291D;0;0;rent;29/04/2019;29/04/2020
181272233221029007253367;bni;PWF32210291D;0;0;rent;29/04/2019;29/04/2020
181272233221029007253401;bni;PWF32210291D;0;0;rent;29/04/2019;29/04/2020
181272233221029007253414;bni;PWF32210291D;0;0;rent;29/04/2019;29/04/2020
181272233221029007253422;bni;PWF32210291D;0;0;rent;29/04/2019;29/04/2020
181272233221029007253447;bni;PWF32210291D;0;0;rent;29/04/2019;29/04/2020
181262233221029007251740;bni;PWF32210291D;0;0;rent;29/04/2019;29/04/2020
182152233221029007349049;bni;PWF32210291D;0;0;rent;29/04/2019;29/04/2020
182332233221029007364082;bni;PWF32210291D;0;0;rent;29/04/2019;29/04/2020
182332233221029007364305;bni;PWF32210291D;0;0;rent;29/04/2019;29/04/2020
182322233221029007362223;bni;PWF32210291D;0;0;rent;29/04/2019;29/04/2020
182352233221029007365159;bni;PWF32210291D;0;0;rent;29/04/2019;29/04/2020
182352233221029007365251;bni;PWF32210291D;0;0;rent;29/04/2019;29/04/2020
182352233221029007365312;bni;PWF32210291D;0;0;rent;29/04/2019;29/04/2020
182352233221029007365998;bni;PWF32210291D;0;0;rent;29/04/2019;29/04/2020
182362233221029007366336;bni;PWF32210291D;0;0;rent;29/04/2019;29/04/2020
182372233221039107369977;cimb;PWF32210392C;0;0;rent;29/04/2019;29/04/2020
182372233221039107370311;cimb;PWF32210392C;0;0;rent;29/04/2019;29/04/2020
182362233221039107367564;cimb;PWF32210392C;0;0;rent;29/04/2019;29/04/2020
182382233221039107370525;cimb;PWF32210392C;0;0;rent;29/04/2019;29/04/2020
182362233221039107366664;cimb;PWF32210392C;0;0;rent;29/04/2019;29/04/2020
182362233221039107367530;cimb;PWF32210392C;0;0;rent;29/04/2019;29/04/2020
182362233221039107367994;cimb;PWF32210392C;0;0;rent;29/04/2019;29/04/2020
182372233221039107368437;cimb;PWF32210392C;0;0;rent;29/04/2019;29/04/2020
182432233221039107378776;cimb;PWF32210392C;0;0;rent;29/04/2019;29/04/2020
182432233221039107378777;cimb;PWF32210392C;0;0;rent;29/04/2019;29/04/2020
180822233221039107181416;cimb;PWF32210392C;0;0;rent;29/04/2019;29/04/2020
182362233221039107367141;cimb;PWF32210392C;0;0;rent;29/04/2019;29/04/2020
182572233221039107397276;cimb;PWF32210392C;0;0;rent;29/04/2019;29/04/2020
182572233221039107397280;cimb;PWF32210392C;0;0;rent;29/04/2019;29/04/2020
182572233221039107397281;cimb;PWF32210392C;0;0;rent;29/04/2019;29/04/2020
182572233221039107397282;cimb;PWF32210392C;0;0;rent;29/04/2019;29/04/2020
180792233221039107174276;cimb;PWF32210392C;0;0;rent;29/04/2019;29/04/2020
182572233221039107397283;cimb;PWF32210392C;0;0;rent;29/04/2019;29/04/2020
182592233221039107401531;cimb;PWF32210392C;0;0;rent;29/04/2019;29/04/2020
182612233221017307405819;cimb;PWF32210175C;0;0;rent;29/04/2019;29/04/2020
182612233221017307405822;cimb;PWF32210175C;0;0;rent;29/04/2019;29/04/2020
182612233221017307405828;cimb;PWF32210175C;0;0;rent;29/04/2019;29/04/2020
