serialnumber;partnumber;brand
1912CA8X2258;VA01000175;BRDING
1912CA8X2305;VA01000175;BRDING
1915CA8Y7073;VA01000175;BRDING
1943CA8T5769;VA01000175;BRDING
1943CA8T5770;VA01000175;BRDING
1943CA8T5771;VA01000175;BRDING
1943CA8T5772;VA01000175;BRDING
1943CA8T5773;VA01000175;BRDING
1943CA8T5774;VA01000175;BRDING
1943CA8T5775;VA01000175;BRDING
1943CA8T5776;VA01000175;BRDING
1943CA8T5777;VA01000175;BRDING
1943CA8T5778;VA01000175;BRDING
1943CA8T5779;VA01000175;BRDING
1943CA8T5780;VA01000175;BRDING
1943CA8T5781;VA01000175;BRDING
1943CA8T5782;VA01000175;BRDING
1943CA8T5783;VA01000175;BRDING
1943CA8T5784;VA01000175;BRDING
1943CA8T5785;VA01000175;BRDING
1943CA8T5786;VA01000175;BRDING
1943CA8T5787;VA01000175;BRDING
1943CA8T5788;VA01000175;BRDING
1943CA8T5789;VA01000175;BRDING
1943CA8T5790;VA01000175;BRDING
1943CA8T5791;VA01000175;BRDING
1943CA8T5792;VA01000175;BRDING
1943CA8T5793;VA01000175;BRDING
1943CA8T5794;VA01000175;BRDING
1943CA8T5795;VA01000175;BRDING
1943CA8T5796;VA01000175;BRDING
1943CA8T5797;VA01000175;BRDING
1943CA8T5798;VA01000175;BRDING
1943CA8T5799;VA01000175;BRDING
1943CA8T5800;VA01000175;BRDING
1943CA8T5801;VA01000175;BRDING
1943CA8T5802;VA01000175;BRDING
1943CA8T5803;VA01000175;BRDING
1943CA8T5804;VA01000175;BRDING
1943CA8T5805;VA01000175;BRDING
1943CA8T5806;VA01000175;BRDING
1943CA8T5807;VA01000175;BRDING
1943CA8T5808;VA01000175;BRDING
1943CA8T5809;VA01000175;BRDING
1943CA8T5810;VA01000175;BRDING
1943CA8T5811;VA01000175;BRDING
1943CA8T5812;VA01000175;BRDING
1943CA8T5813;VA01000175;BRDING
1943CA8T5814;VA01000175;BRDING
1943CA8T5815;VA01000175;BRDING
1943CA8T5816;VA01000175;BRDING
1943CA8T5817;VA01000175;BRDING
1943CA8T5818;VA01000175;BRDING
1943CA8T5819;VA01000175;BRDING
1943CA8T5820;VA01000175;BRDING
1943CA8T5821;VA01000175;BRDING
1943CA8T5822;VA01000175;BRDING
1943CA8T5823;VA01000175;BRDING
1943CA8T5824;VA01000175;BRDING
1943CA8T5825;VA01000175;BRDING
1943CA8T5826;VA01000175;BRDING
1943CA8T5827;VA01000175;BRDING
1943CA8T5828;VA01000175;BRDING
1943CA8T5829;VA01000175;BRDING
1943CA8T5830;VA01000175;BRDING
1943CA8T5831;VA01000175;BRDING
1943CA8T5832;VA01000175;BRDING
1943CA8T5833;VA01000175;BRDING
1943CA8T5834;VA01000175;BRDING
1943CA8T5835;VA01000175;BRDING
1943CA8T5836;VA01000175;BRDING
1943CA8T5837;VA01000175;BRDING
1943CA8T5838;VA01000175;BRDING
1943CA8T5839;VA01000175;BRDING
1943CA8T5840;VA01000175;BRDING
1943CA8T5841;VA01000175;BRDING
1943CA8T5842;VA01000175;BRDING
1943CA8T5843;VA01000175;BRDING
1943CA8T5844;VA01000175;BRDING
1943CA8T5845;VA01000175;BRDING
1943CA8T5846;VA01000175;BRDING
1943CA8T5847;VA01000175;BRDING
1943CA8T5848;VA01000175;BRDING
1943CA8T5849;VA01000175;BRDING
1943CA8T5850;VA01000175;BRDING
1943CA8T5851;VA01000175;BRDING
1943CA8T5852;VA01000175;BRDING
1943CA8T5853;VA01000175;BRDING
1943CA8T5854;VA01000175;BRDING
1943CA8T5855;VA01000175;BRDING
1943CA8T5856;VA01000175;BRDING
1943CA8T5857;VA01000175;BRDING
1943CA8T5858;VA01000175;BRDING
1943CA8T5859;VA01000175;BRDING
1943CA8T5860;VA01000175;BRDING
1943CA8T5861;VA01000175;BRDING
1943CA8T5862;VA01000175;BRDING
1943CA8T5863;VA01000175;BRDING
1943CA8T5864;VA01000175;BRDING
1943CA8T5865;VA01000175;BRDING
1943CA8T5866;VA01000175;BRDING
1943CA8T5867;VA01000175;BRDING
1943CA8T5868;VA01000175;BRDING
1943CA8T5869;VA01000175;BRDING
1943CA8T5870;VA01000175;BRDING
1943CA8T5871;VA01000175;BRDING
1943CA8T5872;VA01000175;BRDING
1943CA8T5873;VA01000175;BRDING
1943CA8T5874;VA01000175;BRDING
1943CA8T5875;VA01000175;BRDING
1943CA8T5876;VA01000175;BRDING
1943CA8T5877;VA01000175;BRDING
1943CA8T5878;VA01000175;BRDING
1943CA8T5879;VA01000175;BRDING
1943CA8T5880;VA01000175;BRDING
1943CA8T5881;VA01000175;BRDING
1943CA8T5882;VA01000175;BRDING
1943CA8T5883;VA01000175;BRDING
1943CA8T5884;VA01000175;BRDING
1943CA8T5885;VA01000175;BRDING
1943CA8T5886;VA01000175;BRDING
1943CA8T5887;VA01000175;BRDING
1943CA8T5888;VA01000175;BRDING
1943CA8T5889;VA01000175;BRDING
1943CA8T5890;VA01000175;BRDING
1943CA8T5891;VA01000175;BRDING
1943CA8T5892;VA01000175;BRDING
1943CA8T5893;VA01000175;BRDING
1943CA8T5894;VA01000175;BRDING
1943CA8T5895;VA01000175;BRDING
1943CA8T5896;VA01000175;BRDING
1943CA8T5897;VA01000175;BRDING
1943CA8T5898;VA01000175;BRDING
1943CA8T5899;VA01000175;BRDING
1943CA8T5900;VA01000175;BRDING
1943CA8T5901;VA01000175;BRDING
1943CA8T5902;VA01000175;BRDING
