Inventory(serial number);Client(code);PartNumber;TID;MID;STATUS (sold/rent/repair);Start warranty (Date);End warranty (Date)
190737333221029004116135;bni;PWF32210291D;0;0;rent;26/07/2019;26/07/2020
190817333221029004187050;bni;PWF32210291D;0;0;rent;26/07/2019;26/07/2020
190817333221029004186976;bni;PWF32210291D;0;0;rent;26/07/2019;26/07/2020
190817333221029004186870;bni;PWF32210291D;0;0;rent;26/07/2019;26/07/2020
190817333221029004187047;bni;PWF32210291D;0;0;rent;26/07/2019;26/07/2020
190817333221029004187003;bni;PWF32210291D;0;0;rent;26/07/2019;26/07/2020
190817333221029004187040;bni;PWF32210291D;0;0;rent;26/07/2019;26/07/2020
190817333221029004186996;bni;PWF32210291D;0;0;rent;26/07/2019;26/07/2020
190817333221029004186372;bni;PWF32210291D;0;0;rent;26/07/2019;26/07/2020
190817333221029004186496;bni;PWF32210291D;0;0;rent;26/07/2019;26/07/2020
190817333221029004184841;bni;PWF32210291D;0;0;rent;26/07/2019;26/07/2020
190817333221029004186903;bni;PWF32210291D;0;0;rent;26/07/2019;26/07/2020
190737333221029004116706;bni;PWF32210291D;0;0;rent;26/07/2019;26/07/2020
190737333221029004117102;bni;PWF32210291D;0;0;rent;26/07/2019;26/07/2020
190737333221029004116848;bni;PWF32210291D;0;0;rent;26/07/2019;26/07/2020
190737333221029004117165;bni;PWF32210291D;0;0;rent;26/07/2019;26/07/2020
190737333221029004117011;bni;PWF32210291D;0;0;rent;26/07/2019;26/07/2020
190737333221029004116828;bni;PWF32210291D;0;0;rent;26/07/2019;26/07/2020
190737333221029004117109;bni;PWF32210291D;0;0;rent;26/07/2019;26/07/2020
190737333221029004116857;bni;PWF32210291D;0;0;rent;26/07/2019;26/07/2020
190737333221029004114953;bni;PWF32210291D;0;0;rent;26/07/2019;26/07/2020
190737333221029004117133;bni;PWF32210291D;0;0;rent;26/07/2019;26/07/2020
190737333221029004116792;bni;PWF32210291D;0;0;rent;26/07/2019;26/07/2020
190737333221029004117089;bni;PWF32210291D;0;0;rent;26/07/2019;26/07/2020
190737333221029004115292;bni;PWF32210291D;0;0;rent;26/07/2019;26/07/2020
190737333221029004116890;bni;PWF32210291D;0;0;rent;26/07/2019;26/07/2020
190737333221029004117160;bni;PWF32210291D;0;0;rent;26/07/2019;26/07/2020
