Inventory(serial number);Client(code);PartNumber;TID;MID;STATUS (sold/rent/repair);Start warranty (Date);End warranty (Date)
12250CT71755760;bri;ICT220-01P1074F;0;0;sold;11/Apr/2013;10/Apr/2016
12254CT71766941;bri;ICT220-01P1074F;0;0;sold;12/Apr/2013;11/Apr/2016
12255CT71767047;bri;ICT220-01P1074F;0;0;sold;12/Apr/2013;11/Apr/2016
12255CT71767647;bri;ICT220-01P1074F;0;0;sold;12/Apr/2013;11/Apr/2016
12255CT71767656;bri;ICT220-01P1074F;0;0;sold;11/Apr/2013;10/Apr/2016
12255CT71767669;bri;ICT220-01P1074F;0;0;sold;12/Apr/2013;11/Apr/2016
12255CT71767670;bri;ICT220-01P1074F;0;0;sold;12/Apr/2013;11/Apr/2016
12255CT71767680;bri;ICT220-01P1074F;0;0;sold;12/Apr/2013;11/Apr/2016
12255CT71767682;bri;ICT220-01P1074F;0;0;sold;12/Apr/2013;11/Apr/2016
12255CT71767684;bri;ICT220-01P1074F;0;0;sold;12/Apr/2013;11/Apr/2016
12255CT71767688;bri;ICT220-01P1074F;0;0;sold;12/Apr/2013;11/Apr/2016
12255CT71767689;bri;ICT220-01P1074F;0;0;sold;12/Apr/2013;11/Apr/2016
12255CT71767690;bri;ICT220-01P1074F;0;0;sold;12/Apr/2013;11/Apr/2016
12255CT71767695;bri;ICT220-01P1074F;0;0;sold;12/Apr/2013;11/Apr/2016
12255CT71767696;bri;ICT220-01P1074F;0;0;sold;11/Apr/2013;10/Apr/2016
12255CT71767697;bri;ICT220-01P1074F;0;0;sold;11/Apr/2013;10/Apr/2016
12255CT71767698;bri;ICT220-01P1074F;0;0;sold;11/Apr/2013;10/Apr/2016
12255CT71767709;bri;ICT220-01P1074F;0;0;sold;12/Apr/2013;11/Apr/2016
12255CT71767711;bri;ICT220-01P1074F;0;0;sold;12/Apr/2013;11/Apr/2016
12255CT71767712;bri;ICT220-01P1074F;0;0;sold;12/Apr/2013;11/Apr/2016
12255CT71767713;bri;ICT220-01P1074F;0;0;sold;11/Apr/2013;10/Apr/2016
12255CT71767721;bri;ICT220-01P1074F;0;0;sold;12/Apr/2013;11/Apr/2016
12255CT71767722;bri;ICT220-01P1074F;0;0;sold;12/Apr/2013;11/Apr/2016
12255CT71767723;bri;ICT220-01P1074F;0;0;sold;12/Apr/2013;11/Apr/2016
12255CT71767725;bri;ICT220-01P1074F;0;0;sold;12/Apr/2013;11/Apr/2016
12255CT71767736;bri;ICT220-01P1074F;0;0;sold;12/Apr/2013;11/Apr/2016
12255CT71767737;bri;ICT220-01P1074F;0;0;sold;12/Apr/2013;11/Apr/2016
12255CT71767738;bri;ICT220-01P1074F;0;0;sold;12/Apr/2013;11/Apr/2016
12255CT71767739;bri;ICT220-01P1074F;0;0;sold;12/Apr/2013;11/Apr/2016
12255CT71767748;bri;ICT220-01P1074F;0;0;sold;11/Apr/2013;10/Apr/2016
12255CT71767749;bri;ICT220-01P1074F;0;0;sold;17/Apr/2013;16/Apr/2016
12255CT71767750;bri;ICT220-01P1074F;0;0;sold;17/Apr/2013;16/Apr/2016
12255CT71767751;bri;ICT220-01P1074F;0;0;sold;17/Apr/2013;16/Apr/2016
12255CT71767760;bri;ICT220-01P1074F;0;0;sold;11/Apr/2013;10/Apr/2016
12255CT71767761;bri;ICT220-01P1074F;0;0;sold;11/Apr/2013;10/Apr/2016
12255CT71767762;bri;ICT220-01P1074F;0;0;sold;11/Apr/2013;10/Apr/2016
12255CT71767763;bri;ICT220-01P1074F;0;0;sold;12/Apr/2013;11/Apr/2016
12255CT71767767;bri;ICT220-01P1074F;0;0;sold;17/Apr/2013;16/Apr/2016
12255CT71767768;bri;ICT220-01P1074F;0;0;sold;17/Apr/2013;16/Apr/2016
12255CT71767769;bri;ICT220-01P1074F;0;0;sold;12/Apr/2013;11/Apr/2016
12255CT71767770;bri;ICT220-01P1074F;0;0;sold;12/Apr/2013;11/Apr/2016
12255CT71767775;bri;ICT220-01P1074F;0;0;sold;17/Apr/2013;16/Apr/2016
12255CT71767776;bri;ICT220-01P1074F;0;0;sold;17/Apr/2013;16/Apr/2016
12255CT71767777;bri;ICT220-01P1074F;0;0;sold;12/Apr/2013;11/Apr/2016
12255CT71767779;bri;ICT220-01P1074F;0;0;sold;12/Apr/2013;11/Apr/2016
12255CT71767786;bri;ICT220-01P1074F;0;0;sold;17/Apr/2013;16/Apr/2016
12255CT71767787;bri;ICT220-01P1074F;0;0;sold;12/Apr/2013;11/Apr/2016
12255CT71767788;bri;ICT220-01P1074F;0;0;sold;12/Apr/2013;11/Apr/2016
12255CT71767790;bri;ICT220-01P1074F;0;0;sold;17/Apr/2013;16/Apr/2016
12255CT71767791;bri;ICT220-01P1074F;0;0;sold;11/Apr/2013;10/Apr/2016
12255CT71767799;bri;ICT220-01P1074F;0;0;sold;11/Apr/2013;10/Apr/2016
12255CT71767800;bri;ICT220-01P1074F;0;0;sold;12/Apr/2013;11/Apr/2016
12255CT71767803;bri;ICT220-01P1074F;0;0;sold;12/Apr/2013;11/Apr/2016
